word,level,transcription,russian
delik deşik etmek,C1,делик дешик этмек,"изрешетить, издырявить"
derdine çare olmak,C1,дердине чаре олмак,найти выход из беды
desteklemek,C1,дестеклемек,поддерживать
deşmek,C1,дешмек,"вскрывать, ковырять"
dile getirmek,C1,диле гетирмек,выразить словами
dillerde dolaşmak,C1,диллерде долашмак,быть у всех на устах
doğmamış çocuğa don biçmek,C1,домамыш чоджуа дон бичмек,делить шкуру неубитого медведя
doğrulmak,C1,дорулмак,выпрямляться
edinmek,C1,эдинмек,приобретать
ekmek yemek,C1,экмек йемек,есть хлеб; зарабатывать на жизнь
ele almak,C1,эле алмак,"взяться за дело, рассмотреть"
ele geçmek,C1,эле гечмек,"попасть в руки, быть захваченным"
eritmek,C1,эритмек,"плавить, растапливать"
evde kalmak,C1,эвде калмак,остаться дома; засидеться в девках
feryat etmek,C1,ферйат этмек,вопить
fırlatmak,C1,фырлатмак,швырять
geri çevirmek,C1,гери чевирмек,"отказать, отвергнуть"
görebilmek,C1,гёребилмек,суметь увидеть
göz önüne serilmek,C1,гёз ёнюне серилмек,предстать перед глазами
göze batmak,C1,гёзе батмак,"бросаться в глаза, раздражать"
gözler önüne sermek,C1,гёзлер ёнюне сермек,выставить напоказ
gözlerinin içi gülmek,C1,гёзлеринин ичи гюлмек,глаза смеются
gözünü yükseklere dikmek,C1,гёзюню йюксеклере дикмек,метить высоко
gülmekten kırılmak,C1,гюлмектен кырылмак,ломаться; обижаться
gün ışığına çıkarmak,C1,гюн ышыына чыкармак,вывести на свет
gündem oluşturmak,C1,гюндем олуштурмак,формировать повестку
hale düşmek,C1,хале дюшмек,дойти до такого состояния
hamle yapmak,C1,хамле йапмак,"сделать ход, шаг"
harmanlamak,C1,харманламак,смешивать
hedef almak,C1,хедеф алмак,"брать на прицел, ставить целью"
hüküm sürmek,C1,хюкюм сюрмек,"царить, господствовать"
iddia etmek,C1,иддиа этмек,"утверждать, заявлять"
ihraç etmek,C1,ихрач этмек,экспортировать
iki laf etmek,C1,ики лаф этмек,перекинуться парой слов
ileri geri konuşmak,C1,илери гери конушмак,"говорить лишнее, грубить"
iletmek,C1,илетмек,"передавать, доставлять"
ilgi duymak,C1,илги дуймак,интересоваться
ilham almak,C1,илхам алмак,вдохновляться
ilham vermek,C1,илхам вермек,вдохновлять
ilişkilendirmek,C1,илишкилендирмек,"связывать, соотносить"
irtibatlandırmak,C1,иртибатландырмак,"связывать, устанавливать контакт"
istatistik yüze gülmek,C1,истатистик йюзе гюлмек,статистика на стороне (кого-л.)
istifade etmek,C1,истифаде этмек,"пользоваться, извлекать пользу"
itiraz etmek,C1,итираз этмек,возражать
içerlemek,C1,ичерлемек,таить обиду
iş işten geçmek,C1,иш иштен гечмек,"поезд ушёл, уже поздно"
iş çevirmek,C1,иш чевирмек,провернуть дело
işe girişmek,C1,ише гиришмек,взяться за работу
işlemek,C1,ишлемек,обрабатывать; работать (о механизме)
işleri yolunda olmak,C1,ишлери йолунда олмак,дела идут хорошо
kafayı yemek,C1,кафайы йемек,сходить с ума
kalbi küt küt atmak,C1,калби кют кют атмак,сердце колотится
kamuoyu oluşturmak,C1,камуойу олуштурмак,формировать общественное мнение
kanaat getirmek,C1,канаат гетирмек,прийти к убеждению
kanun çıkarmak,C1,канун чыкармак,принимать закон
karşı karşıya kalmak,C1,каршы каршыйа калмак,столкнуться лицом к лицу
kasılmak,C1,касылмак,"гнуть, де́йствовать"
kavramak,C1,каврамак,"схватывать, постигать"
kaygılanmak,C1,кайгыланмак,беспокоиться
kaynanası sevmek,C1,кайнанасы севмек,быть в ладах со свекровью (ирон.)
küçük düşünmek,C1,кючюк дюшюнмек,мелко мыслить
kılavuzluk etmek,C1,кылавузлук этмек,"вести, быть проводником"
kılık değiştirmek,C1,кылык дейиштирмек,"переодеваться, менять облик"
kısıtlamak,C1,кысытламак,ограничивать
kıyaslamak,C1,кыйасламак,сравнивать
lafın altından kalkmak,C1,лафын алтындан калкмак,найти что ответить
linç etmek,C1,линч этмек,"линчевать, травить"
mahkûm etmek,C1,махкум этмек,"осуждать, приговаривать"
maruz kalmak,C1,маруз калмак,подвергаться
merak uyandırmak,C1,мерак уйандырмак,вызывать интерес
meşhur etmek,C1,мешхур этмек,прославить
olanaklı kılmak,C1,оланаклы кылмак,делать возможным
olmayacak duaya amin demek,C1,олмайаджак дуайа амин демек,верить в несбыточное
onaylamak,C1,онайламак,"одобрять, утверждать"
oymak,C1,оймак,племя; род
pabucunu dama atmak,C1,пабуджуну дама атмак,"выжить, затмить (кого-л.)"
payını almak,C1,пайыны алмак,получить свою долю
peşine düşmek,C1,пешине дюшмек,пуститься в погоню
püskürtmek,C1,пюскюртмек,"распылять, отбивать"
renk katmak,C1,ренк катмак,вносить разнообразие
restore edilmek,C1,ресторе эдилмек,реставрироваться
salgılamak,C1,салгыламак,выделять (секрет)
sevk etmek,C1,севк этмек,"направлять, отправлять"
seyre dalmak,C1,сейре далмак,засмотреться
sinirleri gerilmek,C1,синирлери герилмек,нервы натянуты
sitem etmek,C1,ситем этмек,упрекать
sivrilmek,C1,сиврилмек,"выделяться, заостряться"
sunmak,C1,сунмак,"предлагать, преподносить"
suratını asmak,C1,суратыны асмак,"надуть губы, сделать кислое лицо"
sönük kalmak,C1,сёнюк калмак,остаться в тени
sözleşmek,C1,сёзлешмек,договариваться
sürüklemek,C1,сюрюклемек,тащить
süzülmek,C1,сюзюлмек,"быть, течь"
süzülüp gitmek,C1,сюзюлюп гитмек,"ускользнуть, уплыть"
sınıflandırmak,C1,сыныфландырмак,классифицировать
sınırlı tutmak,C1,сынырлы тутмак,ограничивать
takışmak,C1,такышмак,"пререкаться, застревать"
taramak,C1,тарамак,расчёсывать; сканировать
tatmin etmek,C1,татмин этмек,удовлетворять
tembihlemek,C1,тембихлемек,"наказывать, предупреждать"
temin etmek,C1,темин этмек,"обеспечивать, доставать"
tutturmak,C1,туттурмак,настоять; прикрепить
ulumak,C1,улумак,выть
uydurmak,C1,уйдурмак,"выдумывать, подгонять"
uzak durmak,C1,узак дурмак,держаться в стороне
volta atmak,C1,волта атмак,ходить взад-вперёд
yakarmak,C1,йакармак,умолять
yansımak,C1,йансымак,отражаться
yapılandırmak,C1,йапыландырмак,"структурировать, реструктурировать"
yapış yapış olmak,C1,йапыш йапыш олмак,стать липким
yatkın olmak,C1,йаткын олмак,быть склонным
yaşayıp gitmek,C1,йашайып гитмек,жить себе дальше
yeltenmek,C1,йелтенмек,"пытаться, замахиваться"
yolunu bulmak,C1,йолуну булмак,найти выход
yöneltmek,C1,йёнелтмек,направлять
yığılmak,C1,йыылмак,"скопляться, заваливаться"
zaman almak,C1,заман алмак,занимать время
zaman harcamak,C1,заман харджамак,тратить время
zaman kaybetmek,C1,заман кайбетмек,терять время
zaman öldürmek,C1,заман ёлдюрмек,убивать время
zedelemek,C1,зеделемек,повреждать
zehirlenmek,C1,зехирленмек,отравляться
zikretmek,C1,зикретмек,упоминать
zonklamak,C1,зонкламак,пульсировать (о боли)
çare aramak,C1,чаре арамак,искать выход
çarpıtmak,C1,чарпытмак,искажать
çatışmak,C1,чатышмак,"сталкиваться, конфликтовать"
çek bozdurmak,C1,чек боздурмак,обналичивать чек
çekip gitmek,C1,чекип гитмек,взять и уйти
çullanmak,C1,чулланмак,наваливаться
çırpınmak,C1,чырпынмак,"биться, трепыхаться"
çığır açmak,C1,чыыр ачмак,"прокладывать путь, быть первопроходцем"
ölçüp biçmek,C1,ёлчюп бичмек,"взвешивать, прикидывать"
önemsemek,C1,ёнемсемек,придавать значение
öngörmek,C1,ёнгёрмек,предвидеть
örgütlenmek,C1,ёргютленмек,организовываться
övmek,C1,ёвмек,хвалить
özetlemek,C1,ёзетлемек,резюмировать
ümidi kaybolmak,C1,юмиди кайболмак,потерять надежду
ümidini kaybetmek,C1,юмидини кайбетмек,утратить надежду
üşenmek,C1,юшенмек,а не; бидон
şaka kaldırmak,C1,шака калдырмак,понимать шутки
şakaya vurmak,C1,шакайа вурмак,свести на шутку
şeref vermek,C1,шереф вермек,оказать честь
